Time,Source,Target,Type,Tags,Fields
"7/17/2025, 9:46:16 PM",Ubuntu1804BionicBeaver,Local system,AgentShutdownEvent,,[object Object]
"7/17/2025, 9:46:10 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:46:08 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:46:06 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:46:04 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:46:02 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:45:59 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:45:57 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:45:55 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:45:53 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:45:51 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:45:49 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
"7/17/2025, 9:45:47 PM",Ubuntu1804BionicBeaver,10.0.2.2,ExploitationEvent,"attack-t1021, wmi-exploiter, attack-t1110, attack-t1210",[object Object]
